	word	stress_pos	nr_syll
1346	огорчило	2	4
1347	ликуйте	2	3
1348	исчез	1	2
1349	должны	2	2
1350	устроить	2	3
1351	праздник	2	2
1352	счастливый	2	3
1353	этими	3	3
1354	руками	2	3
1355	обхватил	1	3
1356	районе	2	3
1357	живота	1	3
1358	крепко	2	2
1359	стиснул	2	2
1360	буквально	2	3
1361	прирос	1	2
1362	обнял	2	2
1363	незнакомый	2	4
1364	мало	1	2
1365	назвали	2	3
1366	значило	3	3
1367	слово	2	2
1368	удалось	1	3
1369	сдвинуться	3	3
1370	быстрым	2	2
1371	машине	2	3
1372	надеясь	2	3
1373	воображения	3	6
1374	крайне	2	2
1375	отрицательно	3	5
1376	относился	2	4
1377	воображению	3	6
1378	плодам	1	2
1379	свернул	1	2
1380	улицы	3	3
1381	дорожку	2	3
1382	ведущую	3	4
1383	дому	1	2
1384	номер	2	2
1385	четыре	2	3
1386	знакомую	3	4
1387	полосатую	3	5
1388	кошку	2	2
1389	резко	2	2
1390	упало	2	3
1391	сомневался	2	4
1392	кошка	2	2
1393	окраска	2	3
1394	странные	3	3
1395	пятна	2	2
1396	сидела	2	3
1397	заборе	2	3
1398	соседей	2	3
1399	громко	2	2
1400	шелохнулась	2	4
1401	строго	2	2
1402	посмотрела	2	4
1403	подумал	2	3
1404	кошки	2	2
1405	ведут	1	2
1406	коем	2	2
1407	случае	3	3
1408	следует	3	3
1409	приятным	2	3
1410	ужином	2	3
1411	охотно	2	3
1412	соседки	2	3
1413	проблемы	2	3
1414	дочерью	3	3
1415	сообщила	2	4
1416	выучил	3	3
1417	новое	3	3
1418	вести	2	2
1419	обычно	2	3
1420	уложила	2	4
1421	кроватку	2	3
1422	поцеловал	1	4
1423	пожелал	1	3
1424	спокойной	2	3
1425	ночи	1	2
1426	гостиную	3	4
1427	включить	2	2
1428	телевизор	2	4
1429	одному	1	3
1430	каналов	2	3
1431	заканчивались	4	5
1432	вечерние	3	4
1433	завершение	3	5
1434	выпуска	3	3
1435	странном	2	2
1436	поведении	3	5
1437	практически	3	4
1438	показываются	5	6
1439	поступали	2	4
1440	сотни	2	2
1441	сообщений	2	4
1442	рассвета	2	3
1443	точках	2	2
1444	страны	2	2
1445	беспорядочно	3	5
1446	специалисты	2	5
1447	могут	2	2
1448	объяснить	1	3
1449	решили	2	3
1450	изменить	1	3
1451	распорядок	2	4
1452	диктор	2	2
1453	ухмыльнуться	2	4
1454	загадочно	3	4
1455	прогнозом	2	3
1456	погоды	2	3
1457	думаешь	3	3
1458	новых	2	2
1459	дождей	1	2
1460	экране	2	3
1461	метеоролог	2	5
1462	вели	1	2
1463	необычно	2	4
1464	зрители	3	3
1465	уголков	1	3
1466	звонили	2	3
1467	сообщить	1	3
1468	дождя	1	2
1469	пообещал	1	4
1470	настоящий	2	4
1471	звездопад	1	3
1472	фейерверки	2	4
1473	случаю	3	3
1474	приближающегося	5	7
1475	праздника	3	3
1476	целая	3	3
1477	неделя	2	3
1478	касается	3	4
1479	сегодняшний	3	4
1480	вечер	2	2
1481	дождливым	2	3
1482	застыл	1	2
1483	кресле	2	2
1484	падающие	5	5
1485	звезды	1	2
1486	непонятное	3	5
1487	поводу	3	3
1488	вошла	1	2
1489	двумя	1	2
1490	чашками	3	3
1491	чая	2	2
1492	почувствовал	3	4
1493	тает	2	2
1494	решимость	2	3
1495	нервно	1	2
1496	прокашлялся	3	4
1497	дорогая	2	4
1498	известий	2	3
1499	сестры	1	2
1500	изобразила	2	5
1501	удивление	3	5
1502	лице	1	2
1503	появилась	2	4
1504	делали	3	3
1505	никакой	1	3
1506	подобная	3	4
1507	реакция	3	4
1508	вопрос	1	2
1509	объяснима	2	4
1510	отрезала	3	4
1511	новостях	1	3
1512	всякие	3	3
1513	загадочные	4	5
1514	вещи	2	2
1515	пробормотал	1	4
1516	огромную	3	4
1517	разницу	3	3
1518	габаритах	2	4
1519	побаивался	4	5
1520	хозяйкой	2	3
1521	доме	2	2
1522	городу	3	3
1523	ходят	2	2
1524	толпы	2	2
1525	одетых	2	3
1526	резким	2	2
1527	тоном	2	2
1528	перебила	2	4
1529	такими	2	3
1530	поджала	2	3
1531	губы	2	2
1532	поднесла	1	3
1533	чашку	2	2
1534	задумался	3	4
1535	осмелится	3	4
1536	слышал	2	2
1537	выпущенной	4	4
1538	городским	1	3
1539	управлением	3	5
1540	книге	2	2
1541	городские	2	4
1542	учреждения	3	5
1543	основанные	4	5
1544	вышла	2	2
1545	шестом	1	2
1546	сказано	3	3
1547	богадельни	2	4
1548	гигиеническом	3	6
1549	отношении	3	5
1550	желать	1	2
1551	лучшего	3	3
1552	построены	3	4
1553	высоком	2	3
1554	города	1	3
1555	городской	1	3
1556	пыли	2	2
1557	духоты	2	3
1558	строительство	3	4
1559	заняло	3	3
1560	шестнадцать	2	3
1561	месяцев	3	3
1562	обошлось	1	3
1563	пятьсот	1	2
1564	одну	1	2
1565	тысячу	3	3
1566	комплекс	1	2
1567	создан	2	2
1568	проекту	2	3
1569	академика	3	5
1570	русском	2	2
1571	стиле	2	2
1572	использованием	5	6
1573	мотивов	2	3
1574	архитектуры	2	5
1575	выполнено	4	4
1576	важное	3	3
1577	условие	3	4
1578	благотворительницы	4	7
1579	обозначенное	4	6
1580	завещании	3	5
1581	здания	3	3
1582	учреждений	2	4
1583	возведены	1	4
1584	нового	3	3
1585	строительного	4	5
1586	материала	2	5
1587	качества	3	3
1588	видим	2	2
1589	двухэтажные	3	5
1590	корпуса	3	3
1591	большими	2	3
1592	окнами	3	3
1593	закругляющимися	5	7
1594	помещения	3	5
1595	великолепно	2	5
1596	оснащены	1	4
1597	электричеством	3	5
1598	вентиляцией	3	5
1599	водопроводом	2	5
1600	канализацией	3	6
1601	паровым	1	3
1602	полы	2	2
1603	дубового	3	4
1604	паркета	2	3
1605	стены	2	2
1606	окрашены	3	4
1607	светлой	2	2
1608	масляной	3	3
1609	краской	2	2
1610	больнице	2	3
1611	избегали	2	4
1612	скученности	4	4
1613	палатах	2	3
1614	палаты	2	3
1615	восемь	2	2
1616	квадратных	2	3
1617	метров	1	2
1618	сравнения	3	4
1619	нынешний	3	3
1620	школьный	2	2
1621	хронических	3	4
1622	третьем	2	2
1623	квартирном	2	3
1624	находилось	2	4
1625	жилье	1	2
1626	священника	3	4
1627	остальных	1	3
1628	работников	3	4
1629	территория	3	5
1630	сделано	3	3
1631	специально	2	4
1632	считалось	2	3
1633	корпусами	4	4
1634	просторные	3	4
1635	дворы	1	2
1636	прогулки	2	3
1637	пациентов	2	4
1638	быстрее	2	3
1639	выздоравливали	4	6
1640	богадельне	2	4
1641	здоровье	2	3
1642	ежедневным	2	4
1643	моционом	2	4
1644	отдельных	2	3
1645	зданиях	3	3
1646	помещались	2	4
1647	кухня	2	2
1648	прачечная	4	4
1649	часовня	2	3
1650	устроена	3	4
1651	шестьдесят	1	3
1652	пристройке	2	3
1653	отходила	2	4
1654	территории	3	5
1655	палата	2	3
1656	семнадцать	2	3
1657	одноместная	3	5
1658	двенадцать	2	3
1659	современного	3	5
1660	врачи	1	2
1661	старого	3	3
1662	писали	2	3
1663	условиях	3	4
1664	рассуждали	2	4
1665	кубатуре	2	4
1666	воздуха	3	3
1667	вентиляция	3	5
1668	свежий	2	2
1669	воздух	2	2
1670	естественное	4	5
1671	проветривание	5	6
1672	потолки	1	3
1673	высота	1	3
1674	потолков	1	3
1675	помещениях	3	5
1676	метра	2	2
1677	палат	1	2
1678	залы	2	2
1679	дневного	2	3
1680	пребывания	3	5
1681	больные	2	3
1682	читать	1	2
1683	общаться	2	3
1684	шашки	2	2
1685	шахматы	3	3
1686	богаделенных	3	5
1687	устроены	3	4
1688	швейные	3	3
1689	мастерские	2	4
1690	досуге	2	3
1691	бездельничать	3	4
1692	способствует	3	4
1693	выздоровлению	3	6
1694	здоровой	2	3
1695	психике	3	3
1696	посильной	2	3
1697	заниматься	2	4
1698	желающие	4	5
1699	постельного	3	4
1700	белья	1	2
1701	починкой	2	3
1702	одежды	2	3
1703	библиотека	2	5
1704	брали	2	2
1705	книги	2	2
1706	чтения	3	3
1707	неделю	2	3
1708	лекции	3	3
1709	теневыми	2	4
1710	картинами	3	4
1711	картинки	2	3
1712	рассказом	2	3
1713	открылась	2	3
1714	январе	1	3
1715	исключением	4	5
1716	онкологических	3	6
1717	числа	2	2
1718	постоянных	2	4
1719	жителей	3	3
1720	подали	3	3
1721	заявление	3	5
1722	городскую	2	4
1723	думу	2	2
1724	больше	2	2
1725	считается	3	4
1726	постоянным	2	4
1727	жителем	3	3
1728	претендовать	1	4
1729	медицинское	3	5
1730	обслуживание	5	6
1731	платить	1	2
1732	небольшой	1	3
1733	допустим	2	3
1734	копеек	2	3
1735	половиной	2	4
1736	скромная	3	3
1737	сумма	2	2
1738	определялась	2	5
1739	уплатить	1	3
1740	решение	3	4
1741	пациенты	2	4
1742	обеспечивались	4	6
1743	бесплатным	2	3
1744	питанием	3	4
1745	бесплатной	2	3
1746	одеждой	2	3
1747	открытия	3	4
1748	благотворительное	4	7
1749	общество	3	3
1750	помогало	2	4
1751	больным	1	2
1752	родственников	4	4
1753	лежали	2	3
1754	приходила	2	4
1755	учительница	4	5
1756	комнаты	3	3
1757	выделили	4	4
1758	сделали	3	3
1759	небольшую	2	4
1760	школу	2	2
1761	лежащие	3	4
1762	отрываться	2	4
1763	заведения	3	5
1764	переименованы	3	7
1765	пятую	3	3
1766	произошло	1	4
1767	назывались	2	4
1768	пятая	3	3
1769	клиническая	4	5
1770	имеет	2	3
1771	статус	2	2
1772	памятника	4	4
1773	истории	3	4
1774	культуры	2	3
1775	существует	2	4
1776	святителя	3	4
1777	митрополита	2	5
1778	бывают	2	3
1779	разные	3	3
1780	уровни	3	3
1781	текста	2	2
1782	отдельные	3	4
1783	единицы	2	4
1784	предложения	3	5
1785	морфологические	4	7
1786	управляют	2	4
1787	процессом	2	3
1788	словообразования	3	8
1789	словоизменения	3	7
1790	синтаксические	4	6
1791	согласованием	3	6
1792	относится	3	4
1793	семантические	4	6
1794	передачи	2	4
1795	смысла	2	2
1796	правильного	3	4
1797	использования	5	6
1798	правил	2	2
1799	стилистические	4	6
1800	уместно	2	3
1801	данной	2	2
1802	конкретной	2	3
1803	ситуации	3	5
1804	неуместно	2	4
1805	вызвать	2	2
1806	эмоции	3	4
1807	слушателя	4	4
1808	заметить	2	3
1809	существуют	2	4
1810	другие	2	3
1811	виды	2	2
1812	важно	2	2
1813	неотделимая	3	6
1814	которой	2	3
1815	развивается	3	5
1816	иметь	1	2
1817	различия	3	4
1818	уровнях	3	3
1819	испанский	2	3
1820	имеют	2	3
1821	синтаксис	3	3
1822	стилистика	3	4
1823	употребления	3	6
1824	разная	3	3
1825	искусственный	3	4
1826	интеллект	1	3
1827	давайте	2	3
1828	сделаем	3	3
1829	сторону	3	3
1830	обработки	2	4
1831	программе	2	3
1832	правило	3	3
1833	процесс	1	2
1834	строится	3	3
1835	семантике	3	4
1836	каждом	2	2
1837	шаге	2	2
1838	результаты	2	4
1839	предыдущих	2	4
1840	шагов	1	2
1841	сырой	1	2
1842	представляется	3	5
1843	цепочкой	2	3
1844	питоне	2	3
1845	выходе	3	3
1846	анализа	3	4
1847	список	2	2
1848	списков	2	2
1849	лексемы	2	3
1850	следующий	4	4
1851	уровень	3	3
1852	морфологический	3	6
1853	анализ	2	3
1854	каждую	3	3
1855	лексему	2	3
1856	информацией	3	5
1857	морфологических	3	6
1858	признаках	3	3
1859	начальной	2	3
1860	форме	2	2
1861	примера	2	3
1862	простые	2	3
1863	строки	2	2
1864	заменены	1	4
1865	структуры	2	3
1866	указа	2	3
1867	начальная	3	4
1868	форма	2	2
1869	речи	2	2
1870	мама	2	2
1871	существительное	4	6
1872	синтаксического	4	6
1873	дерево	3	3
1874	подчинение	3	5
1875	структуре	2	3
1876	данных	2	2
1877	задаваться	2	4
1878	ссылкой	2	2
1879	родительский	3	4
1880	узел	2	2
1881	примере	2	3
1882	синтаксическое	4	6
1883	следующую	5	5
1884	конструкцию	3	4
1885	предложении	3	5
1886	глагол	1	2
1887	глаголу	2	3
1888	подчиняются	3	5
1889	главные	3	3
1890	словосочетаниях	3	7
1891	существительные	4	6
1892	существительным	3	5
1893	определения	3	6
1894	образом	3	3
1895	семантический	3	5
1896	строит	2	2
1897	структуру	2	3
1898	семантическую	4	6
1899	ситуацию	3	5
1900	верхнем	2	2
1901	уровне	3	3
1902	происходит	2	4
1903	какие	2	3
1904	участники	3	4
1905	роли	2	2
1906	примеру	2	3
1907	глагола	2	3
1908	отглагольное	3	5
1909	аргументы	2	4
1910	оконная	3	4
1911	рама	2	2
1912	тряпка	2	2
1913	контексте	2	3
1914	субъект	1	2
1915	объект	1	2
1916	применяются	3	5
1917	действие	3	3
1918	инструмент	1	3
1919	главным	2	2
1920	аргументами	3	5
1921	называется	3	5
1922	отношения	3	5
1923	некоторых	4	4
1924	особенностях	4	5
1925	естественных	3	4
1926	языков	1	3
1927	особенность	3	4
1928	заключается	4	5
1929	языки	1	3
1930	никем	1	2
1931	составлялись	2	4
1932	появились	2	4
1933	эволюционировали	5	9
1934	коммуникации	3	6
1935	никто	1	2
1936	знает	2	2
1937	неписаных	3	4
1938	меняются	3	4
1939	эпоху	2	3
1940	обязательно	3	5
1941	скажете	3	3
1942	фразу	2	2
1943	неправильно	3	4
1944	поймут	1	2
1945	предела	2	3
1946	неоднозначны	2	5
1947	рассмотрим	2	3
1948	парочку	3	3
1949	примеров	2	3
1950	естественным	3	4
1951	языкам	1	3
1952	противопоставляются	3	8
1953	формальные	3	4
1954	программирования	5	7
1955	математических	3	6
1956	формул	2	2
1957	строгим	2	2
1958	формальными	3	4
1959	грамматиками	4	5
1960	разбора	2	3
1961	поиска	3	3
1962	ошибок	2	3
1963	эффективные	3	5
1964	алгоритмы	2	4
1965	пример	2	2
1966	знаете	3	3
1967	придуман	2	3
1968	советским	2	3
1969	лингвистом	2	3
1970	тридцатых	2	3
1971	годах	1	2
1972	звучит	1	2
1973	попробуем	3	4
1974	разобраться	2	4
1975	явно	2	2
1976	действующих	4	4
1977	лица	2	2
1978	можем	2	2
1979	первое	3	3
1980	делает	3	3
1981	остальными	2	4
1982	действующие	5	5
1983	какая	2	3
1984	суффиксы	3	3
1985	примеры	2	3
1986	будем	2	2
1987	подробно	2	3
1988	останавливаться	4	6
1989	можете	3	3
1990	остановить	1	4
1991	прочитать	1	3
1992	текстах	2	2
1993	много	2	2
1994	незнакомых	2	4
1995	детально	2	3
1996	нарисовать	1	4
1997	картину	2	3
1998	степени	3	3
1999	последовательность	5	6
2000	действий	2	2
2001	тексты	2	2
2002	написаны	3	4
2003	философский	2	4
2004	камень	2	2
2005	выжил	2	2
2006	проживали	2	4
2007	гордостью	3	3
2008	слава	2	2
2009	богу	2	2
2010	нормальные	3	4
2011	попали	2	3
2012	странную	3	3
2013	загадочную	4	5
2014	неодобрительно	3	6
2015	относились	2	4
2016	любым	2	2
2017	странностям	3	3
2018	загадкам	2	3
2019	прочей	2	2
2020	ерунде	1	3
2021	фирму	2	2
2022	названием	3	4
2023	производстве	2	4
2024	дрелей	2	2
2025	полный	2	2
2026	мужчина	2	3
2027	пышными	3	3
2028	усами	2	3
2029	короткой	2	3
2030	шеей	2	2
2031	тощей	1	2
2032	блондинкой	2	3
2033	длиннее	2	3
2034	росте	2	2
2035	большую	2	3
2036	следила	2	3
2037	соседями	3	4
2038	разговоры	2	4
2039	заглядывать	3	4
2040	чужие	2	3
2041	заборы	2	3
2042	мнению	3	3
2043	самым	2	2
2044	чудесным	2	3
2045	семья	1	2
2046	имела	2	3
2047	пожелать	1	3
2048	секрет	1	2
2049	боялись	2	3
2050	узнает	2	3
2051	представить	2	3
2052	выплывет	3	3
2053	правда	2	2
2054	приходилась	2	4
2055	родной	1	2
2056	сестрой	1	2
2057	виделись	3	3
2058	делала	3	3
2059	полной	2	2
2060	противоположностью	3	7
2061	содрогались	2	4
2062	мысли	2	2
2063	скажут	2	2
2064	соседи	2	3
2065	улицу	3	3
2066	пожалуют	3	4
2067	знали	2	2
2068	категорически	3	6
2069	хотели	2	3
2070	общался	2	3
2071	родителей	3	4
2072	вторник	2	2
2073	проснулись	2	3
2074	скучным	2	2
2075	серым	2	2
2076	утра	2	2
2077	начинается	3	5
2078	наша	2	2
2079	история	3	4
2080	ничто	1	2
2081	покрытое	3	4
2082	тучами	3	3
2083	стране	1	2
2084	начнут	1	2
2085	происходить	1	4
2086	отвратительный	3	5
2087	галстуков	3	3
2088	трудом	1	2
2089	сопротивляющегося	5	8
2090	орущего	4	4
2091	высокий	2	3
2092	детский	2	2
2093	стульчик	2	2
2094	счастливой	2	3
2095	улыбкой	2	3
2096	мужу	2	2
2097	последние	3	4
2098	сплетни	2	2
2099	окном	1	2
2100	пролетела	2	4
2101	половине	2	4
2102	девятого	3	4
2103	портфель	1	2
2104	щеку	1	2
2105	попытался	2	4
2106	поцеловать	1	4
2107	промахнулся	2	4
2108	происходило	2	5
2109	раскачивался	4	5
2110	стульчике	3	3
2111	ловко	2	2
2112	тарелки	2	3
2113	кашу	2	2
2114	ею	2	2
2115	моя	2	2
2116	крошка	2	2
2117	смехом	2	2
2118	выдавил	3	3
2119	машину	2	3
2120	выехал	3	3
2121	двора	1	2
2122	углу	1	2
2123	странное	3	3
2124	тротуаре	2	4
2125	стояла	2	3
2126	внимательно	3	4
2127	лежащую	3	4
2128	карту	2	2
2129	первую	3	3
2130	секунду	2	3
2131	увидел	2	3
2132	затормозил	1	4
2133	действительно	3	4
2134	полосатая	3	5
2135	привидится	3	4
2136	буркнул	2	2
2137	виноваты	2	4
2138	мрачное	3	3
2139	тусклый	2	2
2140	фонаря	1	3
2141	всякий	2	2
2142	случай	2	2
2143	закрыл	1	2
2144	открыл	1	2
2145	уставился	3	4
2146	уставилась	3	4
2147	отвернулся	2	4
2148	поехал	2	3
2149	следить	1	2
2150	кошкой	2	2
2151	зеркало	3	3
2152	заднего	3	3
2153	вида	2	2
2154	читает	2	3
2155	табличку	2	3
2156	написано	3	4
2157	тисовая	4	4
2158	улица	3	3
2159	поправил	2	3
2160	умеют	2	3
2161	потряс	1	2
2162	выбросить	3	3
2163	автомобиль	1	4
2164	ехал	2	2
2165	пригорода	4	4
2166	думал	2	2
2167	крупном	2	2
2168	заказе	2	3
2169	дрели	2	2
2170	рассчитывал	3	4
2171	подъехал	2	3
2172	заполнившие	4	5
2173	голову	3	3
2174	вылетели	4	4
2175	мгновение	3	4
2176	ока	2	2
2177	обычную	3	4
2178	утреннюю	4	4
2179	автомобильную	3	6
2180	пробку	2	2
2181	нечего	3	3
2182	делать	2	2
2183	сторонам	1	3
2184	улицах	3	3
2185	появилось	2	4
2186	переносил	1	4
2187	нелепой	2	3
2188	одежде	2	3
2189	нынешнюю	4	4
2190	расхаживает	4	5
2191	паре	2	2
2192	следующих	4	4
2193	лекций	2	2
2194	задачи	2	3
2195	предметной	2	3
2196	области	3	3
2197	выделить	3	3
2198	группы	2	2
2199	задач	1	2
2200	группа	2	2
2201	лингвистический	3	5
2202	методы	2	3
2203	лингвистического	4	6
2204	направлены	3	4
2205	разбор	1	2
2206	прямо	2	2
2207	извлечения	3	5
2208	признаков	3	3
2209	частично	2	3
2210	пересекаются	3	6
2211	группой	2	2
2212	самостоятельные	4	7
2213	предшествуют	3	4
2214	применению	3	5
2215	методов	3	3
2216	машинного	3	4
2217	обучения	3	5
2218	прикладные	2	4
2219	бизнесу	3	3
2220	пользователю	5	5
2221	решения	3	4
2222	специальные	3	5
2223	надстройки	2	3
2224	входящие	3	4
2225	извлечение	3	5
2226	решаются	3	4
2227	порядке	2	3
2228	отвечает	2	4
2229	морфологии	3	5
2230	семантики	3	4
2231	связи	2	2
2232	предложений	2	4
2233	повествование	3	6
2234	задача	2	3
2235	генерации	3	5
2236	синтез	2	2
2237	каждой	2	2
2238	реализации	3	6
2239	простейшем	2	3
2240	регулярные	3	5
2241	выражения	3	5
2242	находим	2	3
2243	разделительные	4	6
2244	символы	3	3
2245	пробелы	2	3
2246	знаки	2	2
2247	препинания	3	5
2248	соответствуют	3	5
2249	окончанию	3	5
2250	точка	2	2
2251	окончание	3	5
2252	сокращение	3	5
2253	имя	2	2
2254	отчество	3	3
2255	сокращены	1	4
2256	точек	2	2
2257	конец	1	2
2258	убрать	1	2
2259	регулярных	2	4
2260	выражений	2	4
2261	вероятностные	4	6
2262	модели	2	3
2263	совместное	3	4
2264	распределение	3	6
2265	вероятностей	3	5
2266	меток	2	2
2267	моделям	2	3
2268	относятся	3	4
2269	случайные	3	4
2270	условные	3	4
2271	поля	1	2
2272	скрытые	3	3
2273	данном	2	2
2274	курсе	2	2
2275	называются	3	5
2276	самостоятельно	3	6
2277	почитать	1	3
2278	работает	3	4
2279	отдельными	3	4
2280	анализатор	2	5
2281	набор	1	2
2282	сочетаний	2	4
2283	характеристик	2	5
2284	падеж	1	2
2285	число	1	2
2286	выбрать	2	2
2287	одно	1	2
2288	сочетание	3	5
2289	широкий	2	3
2290	контекст	1	2
2291	омонимия	2	5
2292	разрешается	3	5
2293	мыла	2	2
2294	предложит	2	3
2295	варианта	2	4
2296	прошедшее	3	4
2297	женский	2	2
2298	родительный	3	4
2299	единственное	4	5
2300	мыло	2	2
2301	простой	1	2
2302	частотных	2	3
2303	возможные	3	4
2304	варианты	2	4
2305	известны	2	3
2306	достать	1	2
2307	неизвестных	2	4
2308	редких	2	2
2309	системы	2	3
2310	пытаются	3	4
2311	предположить	1	4
2312	выглядеть	3	3
2313	характеристики	3	6
2314	логичный	2	3
2315	вариантов	2	4
2316	предложенных	3	4
2317	морфологическим	3	6
2318	анализатором	3	6
2319	разрешить	1	3
2320	омонимию	2	5
2321	снимается	3	4
2322	рамках	2	2
2323	контекста	2	3
2324	достаточно	3	4
2325	множества	3	3
2326	выбирается	3	5
2327	правилах	2	3
2328	числе	1	2
2329	современный	2	4
2330	вариант	1	3
2331	последовательности	6	7
2332	размеченный	3	4
2333	корпус	2	2
2334	рекуррентные	3	5
2335	улучшить	2	3
2336	качество	3	3
2337	сильнее	2	3
2338	задачах	2	3
2339	центральное	3	4
2340	положение	3	5
2341	машинном	2	3
2342	обучении	3	5
2343	сложилось	2	3
2344	чаще	2	2
2345	вектора	3	3
2346	матрицы	3	3
2347	графы	1	2
2348	деревья	2	3
2349	задачу	2	3
2350	конечной	2	3
2351	причин	1	2
2352	значительная	4	5
2353	разметки	2	3
2354	применить	1	3
2355	корпусам	3	3
2356	хорошие	3	4
2357	признаки	3	3
2358	размеченной	3	4
2359	выборкой	3	3
2360	стороны	3	3
2361	получится	3	4
2362	извлечь	1	2
2363	классификаторы	3	6
2364	бывает	2	3
2365	неплохое	2	4
2366	представление	3	5
2367	популярных	2	4
2368	усложнения	3	5
2369	подхода	2	3
2370	выделим	3	3
2371	основные	3	4
2372	преимущества	3	5
2373	недостатки	2	4
2374	разреженное	4	5
2375	векторное	4	4
2376	популярное	3	5
2377	классических	3	4
2378	подходах	2	3
2379	сложным	2	2
2380	ядерным	3	3
2381	подходам	2	3
2382	обзор	1	2
2383	призванный	3	3
2384	расширить	2	3
2385	кругозор	1	3
2386	правильную	3	4
2387	терминологию	3	6
2388	дальнейшего	3	4
2389	самостоятельного	4	7
2390	изучения	3	5
2391	простейший	2	3
2392	метод	1	2
2393	двоичный	2	3
2394	вектор	2	2
2395	элементы	2	4
2396	отдельным	2	3
2397	словам	1	2
2398	элемент	1	3
2399	равен	2	2
2400	документе	2	4
2401	присутствует	3	4
2402	подходит	2	3
2403	сильно	2	2
2404	отличаются	3	5
2405	длине	1	2
2406	размерность	2	3
2407	векторного	4	4
2408	пространства	2	3
2409	любые	3	3
2410	классы	2	2
2411	линейно	2	3
2412	линейные	3	4
2413	пространствах	2	3
2414	главная	3	3
2415	проблема	2	3
2416	частотные	3	4
2417	специальная	3	5
2418	лексика	3	3
2419	одинаковый	3	5
2420	причине	2	3
2421	чувствителен	3	4
2422	опечаткам	2	4
2423	случайным	2	3
2424	общая	3	3
2425	разреженных	3	4
2426	векторных	3	3
2427	моделей	2	3
2428	предположении	3	6
2429	независимости	4	6
2430	соответствующие	5	7
2431	разным	2	2
2432	заполняются	3	5
2433	независимо	3	5
2434	теряем	2	3
2435	являются	3	4
2436	синонимами	4	5
2437	встретилось	3	3
2438	встретиться	3	3
2439	модель	1	2
2440	обобщаться	2	4
2441	новые	3	3
2442	данные	3	3
2443	переобучения	3	7
2444	информации	3	5
2445	преимущество	3	5
2446	являться	2	3
2447	недостатком	2	4
2448	выборка	3	3
2449	таком	1	2
2450	подходе	2	3
2451	получается	3	5
2452	переобучиться	2	6
2453	работаем	3	4
2454	линейной	2	3
2455	моделью	2	3
2456	согласно	2	3
2457	вдовы	2	2
2458	коммерции	3	4
2459	советника	3	4
2460	богатейших	2	4
2461	миллион	1	3
2462	неизлечимо	2	5
2463	звания	3	3
2464	пола	2	2
2465	возраста	3	3
2466	богадельню	2	4
2467	тридцати	1	3
2468	стариков	1	3
2469	старух	1	2
2470	отмечалось	2	4
2471	церкви	2	2
2472	вечное	3	3
2473	поминовение	3	6
2474	указанных	3	4
2475	родилась	1	3
2476	четырнадцатом	4	5
2477	происходила	2	5
2478	видной	2	2
2479	сибирской	2	3
2480	предпринимательской	3	6
2481	династии	3	4
2482	прапрадед	2	3
2483	переехал	2	4
2484	опыт	2	2
2485	кораблестроителя	3	7
2486	помог	1	2
2487	нажить	1	2
2488	значительное	4	5
2489	богатство	2	3
2490	занимался	2	4
2491	ловлей	2	2
2492	продажей	2	3
2493	рыбы	2	2
2494	перевозил	1	4
2495	грузы	2	2
2496	парусниках	4	4
2497	дедушка	3	3
2498	имел	1	2
2499	пушной	1	2
2500	промысел	3	3
2501	океане	2	4
2502	протяжении	3	5
2503	двадцати	1	3
2504	известен	2	3
2505	выстроил	3	3
2506	каменный	3	3
2507	особняк	1	3
2508	классицизма	2	4
2509	подобно	2	3
2510	петербургским	2	4
2511	богачам	1	3
2512	собственная	4	4
2513	коллекция	3	4
2514	картин	1	2
2515	скульптуры	2	3
2516	уважаемый	3	5
2517	авторитетный	2	5
2518	богатый	2	3
2519	тратить	2	2
2520	объектов	2	3
2521	городе	3	3
2522	распоряжаться	2	5
2523	деньгами	2	3
2524	домашнее	3	4
2525	образование	3	6
2526	брала	1	2
2527	различные	3	4
2528	частные	3	3
2529	уроки	2	3
2530	итальянского	3	5
2531	немецкого	3	4
2532	польского	3	3
2533	ссыльного	3	3
2534	игры	2	2
2535	декабриста	2	4
2536	французского	3	4
2537	шестнадцати	3	4
2538	выходит	2	3
2539	представителя	3	5
2540	богатейшей	2	4
2541	семьи	2	2
2542	династия	3	4
2543	интересная	3	5
2544	корни	2	2
2545	происходили	2	5
2546	крестьян	1	2
2547	царствования	5	5
2548	приехал	2	3
2549	добычей	2	3
2550	пушнины	2	3
2551	миллионером	2	5
2552	чаем	2	2
2553	пушниной	2	3
2554	сороковых	1	4
2555	момента	2	3
2556	последующих	4	5
2557	москвичами	2	4
2558	становятся	3	4
2559	знаменитыми	3	5
2560	благотворителями	4	7
2561	овдовела	2	4
2562	уединилась	2	5
2563	подмосковном	2	4
2564	имении	3	4
2565	прожила	1	3
2566	отличалась	2	4
2567	религиозностью	3	6
2568	пишут	2	2
2569	общались	2	3
2570	прямых	1	2
2571	наследников	3	4
2572	благотворительность	3	6
2573	миллионов	2	4
2574	двести	2	2
2575	крупные	3	3
2576	суммы	2	2
2577	больницам	2	3
2578	школам	2	2
2579	поддержание	3	5
2580	церквей	1	2
2581	монастырей	1	4
2582	сорока	2	3
2583	процентов	2	3
2584	поступило	2	4
2585	городскому	2	4
2586	общественному	4	5
2587	управлению	3	5
2588	пошла	1	2
2589	богадельня	2	4
